OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PVT The Salvation Nursery And Primary School Nding Loh (31010398),W8JcwnozFJX,31010398,zDqoh1adUj4,PVT The Salvation Nursery And Primary School Ndi,,2012-01-01,,,,,,,,,
PVT Rosa Academy (31010397),tm9R8TJg2LL,31010397,zDqoh1adUj4,PVT Rosa Academy (31010397),,2021-01-01,,,,,,,,,
PVT St Joseph Private School Barkin Ladi (31010395),srzAr0zTQJ3,31010395,zDqoh1adUj4,PVT St Joseph Private School Barkin Ladi (310103,,2011-01-01,,,,,,,,,
PVT Hope Academy Rachas (31010394),LrR8qdElmWV,31010394,zDqoh1adUj4,PVT Hope Academy Rachas (31010394),,2016-01-01,,,,,,,,,
PVT Soughtout Children Academy Fan (31010393),WzN6MH54gue,31010393,zDqoh1adUj4,PVT Soughtout Children Academy Fan (31010393),,2018-01-01,,,,,,,,,
PRY Local Government Education Authority Rapyam Fan (31010391),rXnWOTT4Yno,31010391,zDqoh1adUj4,PRY Local Government Education Authority Rapyam ,,1984-01-01,,,,,,,,,
PVT Cocin Private Nursery And Primary School (31010390),CSBYSeD8Ms3,31010390,zDqoh1adUj4,PVT Cocin Private Nursery And Primary School (31,,2008-01-01,,,,,,,,,
PVT Anglican Nursery And Primary And Primary School Longkat (31010387),mWKDRSpwXj8,31010387,zDqoh1adUj4,PVT Anglican Nursery And Primary And Primary Sch,,2017-01-01,,,,,,,,,
PVT Destiny International Academy (31010384),vwpnPFkhjU6,31010384,zDqoh1adUj4,PVT Destiny International Academy (31010384),,2009-01-01,,,,,,,,,
PVT Conventional Windows Academy Tusung Fan Barkin Ladi (31010383),Xu9G25fmZmo,31010383,zDqoh1adUj4,PVT Conventional Windows Academy Tusung Fan Bark,,2012-01-01,,,,,,,,,
PRY Local Education Authority Ndun-Tangur (31010382),uWIpAnUtLUP,31010382,zDqoh1adUj4,PRY Local Education Authority Ndun-Tangur (31010,,2020-01-01,,,,,,,,,
PVT Joy High School Ratt PO Box 747 Bukuru Road (31010380),nzllaWAlBSH,31010380,zDqoh1adUj4,PVT Joy High School Ratt PO Box 747 Bukuru Road ,,2019-01-01,,,,,,,,,
PRY Kankuwros Primary School (31010371),rF2WLRYR9K1,31010371,zDqoh1adUj4,PRY Kankuwros Primary School (31010371),,2005-01-01,,,,,,,,,
PVT Digital Academy Korot (31010367),DdiOnblSbaP,31010367,zDqoh1adUj4,PVT Digital Academy Korot (31010367),,2021-01-01,,,,,,,,,
PRY Local Education Authority Ratsat B (31010365),D2Hbr6J44M0,31010365,zDqoh1adUj4,PRY Local Education Authority Ratsat B (31010365,,2018-01-01,,,,,,,,,
PRY Local Education Authority Zabot (31010364),BT3YHpkLh4A,31010364,zDqoh1adUj4,PRY Local Education Authority Zabot (31010364),,2016-01-01,,,,,,,,,
PVT Nerat Private School Heipang (31010363),zo0XS015jO6,31010363,zDqoh1adUj4,PVT Nerat Private School Heipang (31010363),,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Bek (31010362),CSYnNuLgAp1,31010362,zDqoh1adUj4,PRY Local Education Authority Primary School Bek,,1991-01-01,,,,,,,,,
PVT Mallam Baba Community Academy Primary School Gana Ropp (31010351),Hw4kIOpzztX,31010351,zDqoh1adUj4,PVT Mallam Baba Community Academy Primary School,,2019-01-01,,,,,,,,,
PVT Nurul Iman Primary School Tenti Babba (31010348),sWJYdqker4e,31010348,zDqoh1adUj4,PVT Nurul Iman Primary School Tenti Babba (31010,,2020-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kofforong (31010343),q1n52nnKjJX,31010343,zDqoh1adUj4,PRY Local Education Authority Primary School Kof,,2018-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dorong (31010342),Fth8wqDm4Ez,31010342,zDqoh1adUj4,PRY Local Education Authority Primary School Dor,,1976-01-01,,,,,,,,,
PVT Cocin Salvation School Rekim (31010341),B9h8XotoyYA,31010341,zDqoh1adUj4,PVT Cocin Salvation School Rekim (31010341),,2021-01-01,,,,,,,,,
PVT Nurul Iman Academy Primary School Gana Ropp (31010315),qMjTD9jmDlK,31010315,zDqoh1adUj4,PVT Nurul Iman Academy Primary School Gana Ropp ,,2022-01-01,,,,,,,,,
PRY Local Education Authority Primary School Vatt (31010313),bmArHPH1Qcm,31010313,zDqoh1adUj4,PRY Local Education Authority Primary School Vat,,1982-01-01,,,,,,,,,
PVT Alibras Unity Academy Primary School Barkin Ladi (31010312),glittxGCrLF,31010312,zDqoh1adUj4,PVT Alibras Unity Academy Primary School Barkin ,,2022-01-01,,,,,,,,,
PRY Ekklisiyar Kristy A Nigeria (Ekan) Primary School Foron (31010306),ImWD9JNjGKl,31010306,zDqoh1adUj4,PRY Ekklisiyar Kristy A Nigeria (Ekan) Primary S,,1935-01-01,,,,,,,,,
PVT Beacon Great International School Yow (31010303),Fld9LeMSOO6,31010303,zDqoh1adUj4,PVT Beacon Great International School Yow (31010,,2019-01-01,,,,,,,,,
PVT Shiphrah Private Schools Larwin - Foron Junction (31010297),tA9mjCU1dm0,31010297,zDqoh1adUj4,PVT Shiphrah Private Schools Larwin - Foron Junc,,2019-01-01,,,,,,,,,
PVT Nana Fatimah Academy Dorowa Babuje (31010292),Nh91hEoDFkX,31010292,zDqoh1adUj4,PVT Nana Fatimah Academy Dorowa Babuje (31010292,,2011-01-01,,,,,,,,,
PVT First Baptist Private School Dorowa Babuje (31010291),qcbUSNvRfpD,31010291,zDqoh1adUj4,PVT First Baptist Private School Dorowa Babuje (,,1987-01-01,,,,,,,,,
PRY Local Education Authority School Nding Sesut (31010290),wdpuQKivKxK,31010290,zDqoh1adUj4,PRY Local Education Authority School Nding Sesut,,2000-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ntv 2 (31010289),CXFZjEntb87,31010289,zDqoh1adUj4,PRY Local Education Authority Primary School Ntv,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Marit (31010286),Hvs7sdDAnrF,31010286,zDqoh1adUj4,PRY Local Education Authority Primary School Mar,,1973-01-01,,,,,,,,,
PVT Cocin Glory Nursery And Primary School Rite Fan (31010285),iWhzhXuClUc,31010285,zDqoh1adUj4,PVT Cocin Glory Nursery And Primary School Rite ,,2012-01-01,,,,,,,,,
PRY Local Education Authority Losus (31010283),mo6DTtFHGSP,31010283,zDqoh1adUj4,PRY Local Education Authority Losus (31010283),,2021-01-01,,,,,,,,,
PVT Kauna Kiddies (31010281),cQSCS3aaI7n,31010281,zDqoh1adUj4,PVT Kauna Kiddies (31010281),,2008-01-01,,,,,,,,,
PRY Ekan Primary School Fan - Loh (31010279),xJKTvBRprBN,31010279,zDqoh1adUj4,PRY Ekan Primary School Fan - Loh (31010279),,1943-01-01,,,,,,,,,
PRY Local Education Authority Primary School Darwat (31010276),mqEIygW5EMW,31010276,zDqoh1adUj4,PRY Local Education Authority Primary School Dar,,1990-01-01,,,,,,,,,
PVT Nurul Iman Academy Primary School Makoli (31010274),sc6lY727Ds2,31010274,zDqoh1adUj4,PVT Nurul Iman Academy Primary School Makoli (31,,2012-01-01,,,,,,,,,
PVT Nurul Iman Academy Primary School Kurra Falls (31010271),dQBmJuP6KEw,31010271,zDqoh1adUj4,PVT Nurul Iman Academy Primary School Kurra Fall,,2012-01-01,,,,,,,,,
PVT Conventional Windows Academy Rapyam (31010266),iVtgk9GM9Jn,31010266,zDqoh1adUj4,PVT Conventional Windows Academy Rapyam (3101026,,2019-01-01,,,,,,,,,
PRY Local Education Authority School Gbwakzerere (31010265),ognPlM49kwR,31010265,zDqoh1adUj4,PRY Local Education Authority School Gbwakzerere,,2019-01-01,,,,,,,,,
PVT Albayan Nursery And Primary School Exlands (31010264),BE4Gw4EKWWX,31010264,zDqoh1adUj4,PVT Albayan Nursery And Primary School Exlands (,,2018-01-01,,,,,,,,,
PVT Jamaatu Nasril Islam (Jni) Academy Barkin Ladi (31010261),Kcgatcw0mIX,31010261,zDqoh1adUj4,PVT Jamaatu Nasril Islam (Jni) Academy Barkin La,,2012-01-01,,,,,,,,,
PVT Plateau State Polytechnic Staff School Heipang (31010260),OnWZf8UROC6,31010260,zDqoh1adUj4,PVT Plateau State Polytechnic Staff School Heipa,,2013-01-01,,,,,,,,,
PVT Cocin Holyway Nursry And Primary School Kakpwis (31010259),kBCeeJfEaqr,31010259,zDqoh1adUj4,PVT Cocin Holyway Nursry And Primary School Kakp,,2010-01-01,,,,,,,,,
PVT Pamson Academy Kamang (31010258),rZl46NBVSka,31010258,zDqoh1adUj4,PVT Pamson Academy Kamang (31010258),,2018-01-01,,,,,,,,,
PVT St Barnabas Anglican School Zaron (31010256),SHaja2gCEkk,31010256,zDqoh1adUj4,PVT St Barnabas Anglican School Zaron (31010256),,2012-01-01,,,,,,,,,
