OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PVT Bright Hope Restoration Academy (7020009),LPIX51J9ZSI,7020009,YX6QUX3WtQc,PVT Bright Hope Restoration Academy (7020009),,1916-01-01,,,,,,,OKPAGADI AGATU,,
PVT C R M Academy Nursery And Primary (7020010),V7REPMVFV93,7020010,YX6QUX3WtQc,PVT C R M Academy Nursery And Primary (7020010),,2015-01-01,,,,,,,ENUNGBE,,
PVT Cherubim And Seraphim Nursery And Primary School (7020012),IHVBXVVXROZ,7020012,YX6QUX3WtQc,PVT Cherubim And Seraphim Nursery And Primary Sch,,2014-01-01,,,,,,,OBAGAJI-AGATU,,
PVT Infant Jesus Nursery And Primary School (7020020),DRA6JWSCCR4,7020020,YX6QUX3WtQc,PVT Infant Jesus Nursery And Primary School (7020,,2014-01-01,,,,,,,OSHIGBUDU,,
PRY Islamiya Primary School Obagaji (7020022),YJ4XRKE7JN5,7020022,YX6QUX3WtQc,PRY Islamiya Primary School Obagaji (7020022),,1973-01-01,,,,,,,OBAGAJI-AGATU,,
PRY Islamiya Primary School Ogwule-ogbaulu (7020024),SQO1SS0O38O,7020024,YX6QUX3WtQc,PRY Islamiya Primary School Ogwule-ogbaulu (70200,,1973-01-01,,,,,,,OGWULE OGBAULU,,
PRY Islamiya Primary School Oshigbudu (7020025),F2GJO8DC2HC,7020025,YX6QUX3WtQc,PRY Islamiya Primary School Oshigbudu (7020025),,1900-01-01,,,,,,,OSHIGBUDU AGATU,,
PRY Lgea Primary School Ogwule Ogbaulu (7020026),OG98LR7PFWC,7020026,YX6QUX3WtQc,PRY Lgea Primary School Ogwule Ogbaulu (7020026),,1996-01-01,,,,,,,OGBAULU-AGATU,,
PRY Lgea Primary School I Akpeko (7020027),W5BLJPA4VM6,7020027,YX6QUX3WtQc,PRY Lgea Primary School I Akpeko (7020027),,1976-01-01,,,,,,,AKPEKO I,,
PRY Lgea Primary School Ii Akpeko (7020028),F81258E85F1,7020028,YX6QUX3WtQc,PRY Lgea Primary School Ii Akpeko (7020028),,1994-01-01,,,,,,,AKPEKO II,,
PRY Lgea Primary School Aila (7020029),WVVLM9Z1H2H,7020029,YX6QUX3WtQc,PRY Lgea Primary School Aila (7020029),,2005-01-01,,,,,,,AILA,,
PRY Lgea Primary School Ekaida (7020031),UI4497QZXM3,7020031,YX6QUX3WtQc,PRY Lgea Primary School Ekaida (7020031),,1992-01-01,,,,,,,EKAIDA VILLAGE,,
PRY Lgea Primary School Ibado (7020033),FQUFZBDVGUO,7020033,YX6QUX3WtQc,PRY Lgea Primary School Ibado (7020033),,1976-01-01,,,,,,,IBADO,,
PRY Lgea Primary School Iga-gishu (7020034),DT2T2W8ZYAS,7020034,YX6QUX3WtQc,PRY Lgea Primary School Iga-gishu (7020034),,1994-01-01,,,,,,,IGA - GISHU,,
PRY Lgea Primary School Inoli (7020035),SYHGTM7TJB0,7020035,YX6QUX3WtQc,PRY Lgea Primary School Inoli (7020035),,1976-01-01,,,,,,,INOLI,,
PRY Lgea Primary School Obanowaole-ginaigwu (7020037),V1B0Q613DOR,7020037,YX6QUX3WtQc,PRY Lgea Primary School Obanowaole-ginaigwu (7020,,1993-01-01,,,,,,,OLE-GINAIGWU ,,
PRY Lgea Primary School Ogwulekaduna (7020041),OMVIII54QL9,7020041,YX6QUX3WtQc,PRY Lgea Primary School Ogwulekaduna (7020041),,2012-01-01,,,,,,,OGWULE,,
PRY Lgea Primary School Okadu (7020042),BXASUHT9GBQ,7020042,YX6QUX3WtQc,PRY Lgea Primary School Okadu (7020042),,2012-01-01,,,,,,,OKADU VILLAGE,,
PRY Lgea Primary School Okpokpolo (7020044),GGSP06TBGIO,7020044,YX6QUX3WtQc,PRY Lgea Primary School Okpokpolo (7020044),,1974-01-01,,,,,,,OKPOKPOLO AGATU,,
PRY Lgea Primary School Olegeje (7020046),I1TWL8HY8JS,7020046,YX6QUX3WtQc,PRY Lgea Primary School Olegeje (7020046),,1978-01-01,,,,,,,OLEGEJE,,
PRY Lgea Primary School Olegidaka (7020048),U3J29T96OHH,7020048,YX6QUX3WtQc,PRY Lgea Primary School Olegidaka (7020048),,1981-01-01,,,,,,,AGATU,,
PRY Lgea Primary School Olegochepo (7020050),FT5PUAHHFME,7020050,YX6QUX3WtQc,PRY Lgea Primary School Olegochepo (7020050),,1991-01-01,,,,,,,OLEGOCHEPO,,
PRY Lgea Primary School Olegodege (7020051),P6CNPKI5DFI,7020051,YX6QUX3WtQc,PRY Lgea Primary School Olegodege (7020051),,1976-01-01,,,,,,,OLEGODEGE,,
PRY Lgea Primary School Olegogbeche (7020053),Y86IVB92Z9T,7020053,YX6QUX3WtQc,PRY Lgea Primary School Olegogbeche (7020053),,1974-01-01,,,,,,,OLEGOIGBOCHE,,
PRY Lgea Primary School Ologba-gishu (7020054),H0AT2WWEZ29,7020054,YX6QUX3WtQc,PRY Lgea Primary School Ologba-gishu (7020054),,1976-01-01,,,,,,,OLOGBA - GISHU,,
PRY Lgea Primary School Omikwidi (7020055),PU2JX6TB8Q5,7020055,YX6QUX3WtQc,PRY Lgea Primary School Omikwidi (7020055),,1990-01-01,,,,,,,OMIKWIDI,,
PRY Lgea Primary School Ugba (7020056),L8I9BJ6WJI9,7020056,YX6QUX3WtQc,PRY Lgea Primary School Ugba (7020056),,2008-01-01,,,,,,,UGBA,,
PRY Local Government Education Authority Oshigbudu Agatu (7020057),NKGDHUMIC8M,7020057,YX6QUX3WtQc,PRY Local Government Education Authority Oshigbud,,2010-01-01,,,,,,,OSHIGBUDU VILLAGE,,
PRY Methodist Primary School Egwuma (7020067),FOQLFM9PR62,7020067,YX6QUX3WtQc,PRY Methodist Primary School Egwuma (7020067),,1958-01-01,,,,,,,EGWUMA-AGATU,,
PRY Methodist Primary School Iii Ogwule (7020070),ZNDRYV333K0,7020070,YX6QUX3WtQc,PRY Methodist Primary School Iii Ogwule (7020070),,1976-01-01,,,,,,,OGWULE,,
PRY Methodist Primary School Odugbeho (7020071),ONL5ASAYWMF,7020071,YX6QUX3WtQc,PRY Methodist Primary School Odugbeho (7020071),,1994-01-01,,,,,,,ODUGBEHO VILLAGE,,
PRY Methodist Primary School Ello (7020075),ZMGBUY9DHKD,7020075,YX6QUX3WtQc,PRY Methodist Primary School Ello (7020075),,1975-01-01,,,,,,,ELLO AGATU,,
PRY Methodist Primary School Usha (7020085),M9TWTZUCLEB,7020085,YX6QUX3WtQc,PRY Methodist Primary School Usha (7020085),,1954-01-01,,,,,,,USHA AGATU,,
PVT Modern Grammar Nursery And Primary School Ogwule Ogbaulu Agatu (7020087),MDZVONFDUGW,7020087,YX6QUX3WtQc,PVT Modern Grammar Nursery And Primary School Ogw,,2012-01-01,,,,,,,OGWULE OGBAULU,,
PVT Opec Nurpri Schol Ogwule (7020093),GBE1KEISTS8,7020093,YX6QUX3WtQc,PVT Opec Nurpri Schol Ogwule (7020093),,2008-01-01,,,,,,,OGWULE,,
PRY Rcm Primary School Abugbe (7020094),RZGFC85RDWN,7020094,YX6QUX3WtQc,PRY Rcm Primary School Abugbe (7020094),,1952-01-01,,,,,,,ABUGBE AGATU,,
PRY Rcm Primary School Adana (7020096),M3K7KDTNTUC,7020096,YX6QUX3WtQc,PRY Rcm Primary School Adana (7020096),,1954-01-01,,,,,,,ADANA - AGATU,,
PRY Rcm Primary School Aila (7020097),TOL1FT17RM4,7020097,YX6QUX3WtQc,PRY Rcm Primary School Aila (7020097),,1946-01-01,,,,,,,AILA,,
PRY Rcm Primary School Ajomachi (7020098),X6X6UQ2TZLB,7020098,YX6QUX3WtQc,PRY Rcm Primary School Ajomachi (7020098),,1976-01-01,,,,,,,AJOMACHI AGATU,,
PRY Rcm Primary School Edeje (7020100),CL3LGSGM7G9,7020100,YX6QUX3WtQc,PRY Rcm Primary School Edeje (7020100),,1975-01-01,,,,,,,EJEJE,,
PRY Rcm Primary School Ekwo-okpanchenyi (7020102),OMGV4VK59KW,7020102,YX6QUX3WtQc,PRY Rcm Primary School Ekwo-okpanchenyi (7020102),,1955-01-01,,,,,,,EKWO/OKPANCHENYI,,
PRY Rcm Primary School Enogaje (7020104),A96U92RQPTB,7020104,YX6QUX3WtQc,PRY Rcm Primary School Enogaje (7020104),,1952-01-01,,,,,,,ENOGAJE,,
PRY Rcm Primary School Igoje (7020106),SQEUYKDB1SY,7020106,YX6QUX3WtQc,PRY Rcm Primary School Igoje (7020106),,1990-01-01,,,,,,,IGOJE,,
PRY Rcm Primary School Inminyi (7020107),PK5HQSXSGCC,7020107,YX6QUX3WtQc,PRY Rcm Primary School Inminyi (7020107),,1976-01-01,,,,,,,INMINYI,,
PRY Rcm Primary School Oshigbudu (7020112),KDJX2WSZN4B,7020112,YX6QUX3WtQc,PRY Rcm Primary School Oshigbudu (7020112),,1947-01-01,,,,,,,OSHIGBUDU,,
PVT Unity International Nurpri Ogwule (7020137),T557HA10YC5,7020137,YX6QUX3WtQc,PVT Unity International Nurpri Ogwule (7020137),,2005-01-01,,,,,,,OGWULE,,
PRY Lgea Primary School Okpegwa-ogbaulu Agatu (7020141),HIDXTURPINC,7020141,YX6QUX3WtQc,PRY Lgea Primary School Okpegwa-ogbaulu Agatu (70,,2010-01-01,,,,,,,OKPEGWA-OGBAULU,,
PRY Lgea Primary School Ejima Gega (7020154),IQABSUFB4C2,7020154,YX6QUX3WtQc,PRY Lgea Primary School Ejima Gega (7020154),,2012-01-01,,,,,,,EJIMA GEGA,,
PRY Lgea Primary School Olegomakwu Agatu (7020157),ZKFPGHKR40P,7020157,YX6QUX3WtQc,PRY Lgea Primary School Olegomakwu Agatu (7020157,,1976-01-01,,,,,,,OLEGOMAKWU,,
PRY Rcm Primary School Odugbeho (7020159),W1Y5H8TFOQE,7020159,YX6QUX3WtQc,PRY Rcm Primary School Odugbeho (7020159),,1942-01-01,,,,,,,ODUGBEHO,,
PRY Lgea Primary School Okwutanobe (7020161),L8Z2NAZZELU,7020161,YX6QUX3WtQc,PRY Lgea Primary School Okwutanobe (7020161),,1994-01-01,,,,,,,OKWUTANOBE,,
PRY Lgea Primary School Oleginaigwu Agatu (7020167),AIVXBNJS26V,7020167,YX6QUX3WtQc,PRY Lgea Primary School Oleginaigwu Agatu (702016,,1993-01-01,,,,,,,OLEGINAIGWU,,
PRY Success Nursery And Primary School Okpanchenyi (7020169),YGKTVCKS3GP,7020169,YX6QUX3WtQc,PRY Success Nursery And Primary School Okpancheny,,2014-01-01,,,,,,,OKPANCHENYI,,
PRY Lgea Primary School Oleje Agatu (7020171),ZMQILVAWKAB,7020171,YX6QUX3WtQc,PRY Lgea Primary School Oleje Agatu (7020171),,1976-01-01,,,,,,,OLEJE,,
PVT Odec Nurswery And Primary School Ogwule Ogbaulu (7020174),X6AXBTXHQCG,7020174,YX6QUX3WtQc,PVT Odec Nurswery And Primary School Ogwule Ogbau,,2009-01-01,,,,,,,OGWULE OGBAULU,,
PVT Saint Mathew Nursery And Primary School Ibado (7020175),C57QO9VBNFO,7020175,YX6QUX3WtQc,PVT Saint Mathew Nursery And Primary School Ibado,,2001-01-01,,,,,,,IBADO,,
PVT Cefn Nursery And Primary School Ogwule Ogbaulu Agatu (7020176),HCSWBE7DT3F,7020176,YX6QUX3WtQc,PVT Cefn Nursery And Primary School Ogwule Ogbaul,,2017-01-01,,,,,,,OGWULE OGBAULU,,
PVT Above Nursery And Primary School Ako-tombo (7040002),QF2X02KW4HO,7040002,FEN5VTLW71p,PVT Above Nursery And Primary School Ako-tombo (7,,2010-01-01,,,,,,,AKO,,
