school_code,category,state,lga,school_name,town,location,school_level,year,set_name,ward,prefix,state_clean,lga_clean,ward_clean,match_type
7010003,PRIVATE,BENUE,ADO,CAC NURSERY AND PRIMARY SCHOOL ODOKE,ODOKE,RURAL,PRIMARY,2013,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010004,PRIVATE,BENUE,ADO,CHRIST HERITAGE MODEL SCHOOLS UDEBO UKWONYO,UDEBO UKWONYO,RURAL,PRIMARY,2019,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010006,PRIVATE,BENUE,ADO,CITY INTERNATIONAL SCHOOL,UTONKON,RURAL,PRIMARY,2011,,,PVT,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010018,PUBLIC,BENUE,ADO,LGEA ST MARY PRIMARY SCHOOL OJENYO,OJENYO,RURAL,PRIMARY ONLY,1934,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010020,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IKPOMOLOKPO AYAGA,AYAGA,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010021,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL ALIKPE,IKORO-UTONKON,RURAL,PRIMARY ONLY,1979,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010022,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL I AGILA,AGILA,RURAL,PRIMARY ONLY,1934,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010023,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL I APA AGILA,APA - AGILA,RURAL,PRIMARY,1971,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010024,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL I AZUOKE,AZUOKE,RURAL,PRIMARY ONLY,1945,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010026,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL I OKPOBILA,APA,RURAL,PRIMARY ONLY,1984,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010028,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL II AGILA,AGILA,RURAL,PRIMARY ONLY,1934,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010029,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL II AZUOKE,AZUOKE,RURAL,PRIMARY ONLY,1994,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010034,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IKPEYI WATUOLO UTOKON,IKPEYI WATUOLO,RURAL,PRIMARY ONLY,1976,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
7010035,PUBLIC,BENUE,ADO,LGEA PRIMARY SCHOOL IVETSE AGILA,AGILA,RURAL,PRIMARY ONLY,1988,,,PRY,BE BENUE,OG ADO ODO OTA LOCAL GOVERNMENT AREA,,unmatched
